customer_id,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
2001,Eha,Aas,eha.aas@telia.ee,+372 8713 1455,Tallinn,2024-02-27,,1973
2002,Aivar,Kõiv,aivar.koiv@outlook.com,+372 8943 8684,Haapsalu,2025-01-09,bronze,1988
2003,Maris,Rebane,maris.rebane@telia.ee,+372 5918 5726,Tartu,2021-02-03,,1999
2004,Jaak,Talvik,jaak.talvik@mail.ee,+372 8554 4232,Tallinn,2023-11-12,silver,1974
2005,Raivo,Koppel,raivo.koppel@yahoo.com,+372 5298 4365,Tallinn,2023-05-22,bronze,2004
2006,Aili,Must,,+372 5444 0491,Pärnu,2022-01-04,,1986
2007,Ragnar,Männik,ragnar.mannik@gmail.com,+372 5554 6619,Pärnu,2024-11-30,silver,1977
2008,Külli,Paas,kulli.paas@mail.ee,+372 8543 4045,Tartu,2020-06-15,gold,1966
2009,Madis,Mitt,madis.mitt@yahoo.com,+372 5917 7491,Narva,2021-02-03,silver,1968
2010,Indrek,Lill,indrek.lill@mail.ee,+372 8736 0957,Tartu,2023-10-09,,1979
2011,Tiina,Rebane,tiina.rebane@yahoo.com,+372 8186 5628,Narva,2025-02-04,bronze,1994
2012,Merle,Kukk,merle.kukk@outlook.com,+372 5770 1141,Võru,2022-12-27,silver,1981
2013,Elis,Oja,,+372 5620 0593,Pärnu,2020-12-17,,1972
2014,Rain,Kivi,,+372 5269 4246,Pärnu,2021-03-10,,1990
2015,Grete,Rosin,grete.rosin@telia.ee,+372 5189 4574,Tartu,2023-01-14,silver,1969
2016,Marika,Lill,,+372 8283 3830,Tartu,2020-01-20,gold,1968
2017,Kadri,Vaher,kadri.vaher@telia.ee,+372 5326 4116,Viljandi,2022-05-20,silver,1965
2018,Marika,Nurk,marika.nurk@gmail.com,+372 8997 7825,Paide,2020-06-06,gold,2004
2019,Heino,Tammik,heino.tammik@mail.ee,+372 5932 5422,Tallinn,2021-07-10,bronze,1976
2020,Heli,Pärn,heli.parn@telia.ee,+372 8379 4948,Paide,2021-11-04,silver,1969
2021,Ragnar,Lill,ragnar.lill@yahoo.com,+372 5635 1934,Paide,2024-07-27,bronze,1984
2022,Liina,Mägi,liina.magi@yahoo.com,+372 5729 2885,Rakvere,2022-05-03,gold,1984
2023,Reet,Kivi,reet.kivi@hot.ee,+372 5501 7726,Tallinn,2023-12-16,,1969
2024,Rain,Lõhmus,rain.lohmus@outlook.com,+372 5210 1774,Valga,2024-05-09,bronze,1987
2025,Väino,Lepik,vaino.lepik@gmail.com,+372 5449 1787,Tallinn,2022-06-30,,1982
2026,Kati,Mitt,kati.mitt@gmail.com,+372 5373 7888,Tallinn,2021-12-29,,1969
2027,Heli,Laas,heli.laas@mail.ee,+372 8546 6353,Tallinn,2020-09-28,gold,1995
2028,Tiina,Saar,tiina.saar@telia.ee,+372 5846 0072,Tallinn,2023-02-26,gold,1984
2029,Meelis,Lill,meelis.lill@gmail.com,+372 5991 9314,Kuressaare,2020-05-04,,1989
2030,Rein,Lill,rein.lill@hot.ee,+372 8524 5422,Tartu,2021-12-05,silver,1982
2031,Ants,Kangur,ants.kangur@mail.ee,+372 5627 0543,Narva,2022-11-19,gold,1981
2032,Tiit,Toom,tiit.toom@gmail.com,+372 5130 0048,Tallinn,2024-10-29,bronze,1961
2033,Rein,Teder,rein.teder@hot.ee,+372 8377 2899,Tallinn,2020-07-07,,1990
2034,Pille,Lepik,pille.lepik@hot.ee,+372 8976 0123,Tallinn,2021-06-08,,1987
2035,Mihkel,Pärn,mihkel.parn@gmail.com,+372 5487 7733,Viljandi,2023-04-25,silver,1976
2036,Sigrid,Põld,sigrid.pold@gmail.com,+372 5695 9740,Tartu,2022-01-04,gold,1967
2037,Lea,Veski,lea.veski@telia.ee,+372 8413 7523,Tartu,2022-04-07,,1971
2038,Jüri,Kask,juri.kask@telia.ee,+372 5123 3391,Narva,2020-09-18,gold,1992
2039,Urmas,Rebane,,+372 5744 9953,Haapsalu,2024-12-14,bronze,1975
2040,Liina,Lepp,liina.lepp@outlook.com,+372 5568 9499,Pärnu,2021-09-08,silver,1987
2041,Riina,Roots,riina.roots@yahoo.com,+372 5115 7136,Tallinn,2022-03-28,bronze,1995
