id,sale_id,invoice_id,sale_date,customer_id,product_id,quantity,unit_price,total_price,channel,store_location,payment_method,first_name,last_name,email,phone,city,registration_date,loyalty_tier,birth_year
14,14,INV-202301-00014,2023-01-01,2755.0,1153,4,79.59,318.36,pood,Tallinn,sularaha,Merike,Nõmm,merike.nomm@yahoo.com,+372 8548 9356,Jõhvi,2020-08-19,,1977.0
48,48,INV-202301-00048,2023-01-01,3514.0,1065,1,48.58,48.58,pood,Tallinn,järelmaks,Marko,Hurt,marko.hurt@mail.ee,+372 5351 7617,Tartu,2020-07-01,,1991.0
69,69,INV-202301-00069,2023-01-01,2230.0,1050,1,145.72,145.72,pood,Tartu,järelmaks,Jüri,Veski,juri.veski@mail.ee,+372 8818 7000,Tallinn,2021-06-01,gold,1992.0
116,116,INV-202301-00116,2023-01-01,2441.0,1223,4,319.98,1279.92,pood,Tallinn,järelmaks,Kristjan,Paas,kristjan.paas@gmail.com,+372 5342 9348,Tallinn,2022-08-15,gold,1975.0
152,152,INV-202301-00152,2023-01-01,3556.0,1128,3,321.68,823.5,pood,Pärnu,kaart,Merike,Vaher,merike.vaher@mail.ee,+372 5848 0334,Tallinn,2022-02-12,silver,1999.0
156,156,INV-202301-00156,2023-01-01,4288.0,1204,1,63.95,63.95,pood,Tallinn,kaart,Kevin,Rand,kevin.rand@telia.ee,+372 8267 0473,Tartu,2020-08-17,silver,1998.0
220,220,INV-202301-00220,2023-01-01,4864.0,1135,2,175.25,350.5,pood,Pärnu,kaart,Kersti,Kuusik,kersti.kuusik@mail.ee,+372 5741 8759,Valga,2022-09-10,bronze,1989.0
246,246,INV-202301-00246,2023-01-01,3110.0,1333,1,218.54,218.54,online,,kaart,Aivar,Raud,aivar.raud@gmail.com,+372 5749 0977,Tallinn,2022-12-24,bronze,1965.0
254,254,INV-202301-00254,2023-01-01,4593.0,1135,1,175.25,175.25,pood,Pärnu,järelmaks,Kristiina,Oja,kristiina.oja2@outlook.com,+372 5301 2252,Viljandi,2020-01-13,gold,1961.0
4,4,INV-202301-00004,2023-01-02,4677.0,1341,3,45.21,135.63,pood,Tartu,sularaha,Aili,Pihl,aili.pihl@yahoo.com,+372 8375 4888,Narva,2021-10-08,gold,1972.0
53,53,INV-202301-00053,2023-01-02,2927.0,1238,2,72.73,145.46,pood,Tallinn,sularaha,Rasmus,Männik,rasmus.mannik2@gmail.com,+372 5941 5773,Tallinn,2022-09-23,silver,1961.0
74,74,INV-202301-00074,2023-01-02,,1204,1,63.95,63.95,pood,Pärnu,kaart,,,,,,,,
79,79,INV-202301-00079,2023-01-02,4896.0,1289,2,171.33,342.66,pood,Tallinn,sularaha,Meelis,Toom,meelis.toom@yahoo.com,+372 8603 9977,Tallinn,2021-06-04,,1996.0
83,83,INV-202301-00083,2023-01-02,4624.0,1198,2,291.72,583.44,pood,Tallinn,kaart,Enn,Teder,enn.teder@outlook.com,+372 8261 9866,Pärnu,2021-08-15,,1972.0
122,122,INV-202301-00122,2023-01-02,,1135,4,175.25,701.0,pood,Tartu,sularaha,,,,,,,,
135,135,INV-202301-00135,2023-01-02,4220.0,1240,1,356.57,356.57,pood,Tallinn,sularaha,Kadri,Kukk,kadri.kukk@gmail.com,+372 8982 9993,Tallinn,2021-07-29,gold,1961.0
146,146,INV-202301-00146,2023-01-02,2652.0,1327,2,110.7,221.4,pood,Tallinn,kaart,Heino,Mitt,heino.mitt@hot.ee,+372 5681 0937,Tallinn,2022-03-07,silver,2002.0
161,161,INV-202301-00161,2023-01-02,4458.0,1128,1,274.5,274.5,pood,Tallinn,järelmaks,Kadri,Rebane,kadri.rebane@hot.ee,+372 5569 2650,Tallinn,2021-04-15,gold,1973.0
184,184,INV-202301-00184,2023-01-02,4677.0,1004,1,41.63,41.63,pood,Tartu,kaart,Aili,Pihl,aili.pihl@yahoo.com,+372 8375 4888,Narva,2021-10-08,gold,1972.0
204,204,INV-202301-00204,2023-01-02,4119.0,1211,1,225.28,225.28,pood,Tallinn,kaart,Ago,Toom,ago.toom@hot.ee,+372 5542 1353,Võru,2020-01-06,,1988.0
229,229,INV-202301-00229,2023-01-02,4150.0,1089,1,134.58,134.58,pood,Tallinn,kaart,Kaido,Roots,kaido.roots@gmail.com,+372 5815 6260,Pärnu,2020-03-25,,1990.0
18,18,INV-202301-00018,2023-01-03,3990.0,1164,1,179.35,179.35,pood,Tartu,sularaha,Henri,Lepik,henri.lepik@gmail.com,+372 5775 7967,Tallinn,2021-09-01,silver,1964.0
66,66,INV-202301-00066,2023-01-03,2017.0,1189,1,58.49,58.49,pood,Tallinn,järelmaks,Kadri,Vaher,kadri.vaher@telia.ee,+372 5326 4116,Viljandi,2022-05-20,silver,1965.0
95,95,INV-202301-00095,2023-01-03,4000.0,1227,2,120.17,240.34,online,,järelmaks,Kristjan,Rand,kristjan.rand2@outlook.com,+372 5653 8185,Kuressaare,2020-03-30,silver,1982.0
98,98,INV-202301-00098,2023-01-03,2472.0,1034,1,207.23,207.23,pood,Tartu,järelmaks,Heino,Pihl,heino.pihl@telia.ee,+372 5445 1891,Tartu,2022-09-26,,1969.0
106,106,INV-202301-00106,2023-01-03,3767.0,1277,1,121.51,121.51,pood,Tartu,kaart,Tarmo,Kaalep,tarmo.kaalep2@mail.ee,+372 5133 8735,Tartu,2022-03-14,,1962.0
151,151,INV-202301-00151,2023-01-03,3924.0,1157,2,91.22,182.44,online,,sularaha,Rasmus,Org,rasmus.org@gmail.com,+372 5523 2343,Tartu,2021-03-25,silver,1984.0
244,244,INV-202301-00244,2023-01-03,3861.0,1345,2,225.81,451.62,pood,Tartu,kaart,Mihkel,Talvik,mihkel.talvik@hot.ee,+372 5308 5459,Pärnu,2020-03-24,,1965.0
35,35,INV-202301-00035,2023-01-04,2339.0,1347,2,246.97,493.94,pood,Tallinn,kaart,Margus,Lass,margus.lass@outlook.com,+372 5567 1285,Kuressaare,2020-12-10,bronze,1970.0
77,77,INV-202301-00077,2023-01-04,4178.0,1275,3,62.82,188.46,online,,sularaha,Ago,Lõoke,ago.looke@telia.ee,+372 5121 3969,Jõhvi,2022-06-11,,2004.0
85,85,INV-202301-00085,2023-01-04,2609.0,1243,1,184.02,184.02,pood,Pärnu,sularaha,Taavi,Pihl,taavi.pihl@mail.ee,+372 8856 8388,Haapsalu,2022-01-01,gold,2005.0
88,88,INV-202301-00088,2023-01-04,4001.0,1082,2,100.93,201.86,pood,Tallinn,kaart,Elis,Tammik,,+372 8806 9956,Tartu,2021-04-16,silver,1983.0
105,105,INV-202301-00105,2023-01-04,2396.0,1138,2,130.73,261.46,pood,Tallinn,sularaha,Heino,Aas,heino.aas@mail.ee,+372 8896 7501,Narva,2022-02-18,gold,1999.0
120,120,INV-202301-00120,2023-01-04,3556.0,1114,1,74.7,74.7,pood,Tallinn,sularaha,Merike,Vaher,merike.vaher@mail.ee,+372 5848 0334,Tallinn,2022-02-12,silver,1999.0
168,168,INV-202301-00168,2023-01-04,4556.0,1092,2,186.12,288.4,online,,kaart,Meelis,Rand,meelis.rand@yahoo.com,+372 8475 3467,Pärnu,2020-11-21,gold,1972.0
170,170,INV-202301-00170,2023-01-04,,1111,1,327.07,327.07,pood,Tallinn,sularaha,,,,,,,,
207,207,INV-202301-00207,2023-01-04,4206.0,1030,1,112.68,112.68,pood,Pärnu,järelmaks,Kersti,Lill,kersti.lill@telia.ee,+372 5531 1346,Tallinn,2021-02-03,,1967.0
228,228,INV-202301-00228,2023-01-04,,1201,4,147.16,588.64,pood,Tallinn,sularaha,,,,,,,,
3,3,INV-202301-00003,2023-01-05,4673.0,1264,1,258.46,221.19,pood,Pärnu,järelmaks,Liina,Saar,liina.saar@gmail.com,+372 8809 7990,Tallinn,2020-03-31,silver,1973.0
15,15,INV-202301-00015,2023-01-05,3076.0,1018,1,47.07,47.07,pood,Pärnu,kaart,Jüri,Kuusk,juri.kuusk@mail.ee,+372 5445 3830,Narva,2020-07-19,bronze,1993.0
75,75,INV-202301-00075,2023-01-05,4454.0,1290,4,105.23,420.92,online,,sularaha,Indrek,Männik,indrek.mannik@hot.ee,+372 5965 1531,Tallinn,2022-07-07,silver,1993.0
149,149,INV-202301-00149,2023-01-05,2597.0,1332,1,81.85,81.85,online,,järelmaks,Erkki,Pihl,erkki.pihl@mail.ee,+372 8595 0645,Haapsalu,2022-06-21,bronze,1988.0
157,157,INV-202301-00157,2023-01-05,3648.0,1338,1,282.29,282.29,pood,Tartu,järelmaks,Erkki,Ilves,erkki.ilves@outlook.com,+372 5496 2376,Tartu,2021-10-29,silver,2003.0
185,185,INV-202301-00185,2023-01-05,2554.0,1182,1,180.14,180.14,online,,sularaha,Kristiina,Puusepp,kristiina.puusepp@mail.ee,+372 5602 9156,Tartu,2020-09-26,,1972.0
188,188,INV-202301-00188,2023-01-05,2484.0,1072,2,95.39,190.78,online,,sularaha,Kersti,Liiv,kersti.liiv@gmail.com,+372 5919 2020,Tartu,2020-01-12,,1963.0
190,190,INV-202301-00190,2023-01-05,3443.0,1017,3,153.62,460.86,online,,kaart,Arvo,Nurk,arvo.nurk@mail.ee,+372 8927 9915,Tartu,2022-06-26,silver,1992.0
192,192,INV-202301-00192,2023-01-05,2876.0,1211,2,225.28,450.56,online,,järelmaks,Sandra,Veski,sandra.veski@mail.ee,+372 8186 1726,Tallinn,2021-10-23,,1992.0
195,195,INV-202301-00195,2023-01-05,4070.0,1070,2,139.74,-279.48,pood,Tallinn,sularaha,Kristiina,Mitt,kristiina.mitt@outlook.com,+372 5452 7270,Jõhvi,2021-03-30,silver,1971.0
203,203,INV-202301-00203,2023-01-05,2577.0,1337,2,272.05,544.1,pood,Tallinn,sularaha,Heino,Laas,heino.laas@telia.ee,+372 8332 6248,Haapsalu,2022-08-24,,1979.0
206,206,INV-202301-00206,2023-01-05,4481.0,1218,2,108.09,216.18,online,,kaart,Laura,Aas,,+372 5994 0713,Tartu,2021-10-17,silver,1976.0
213,213,INV-202301-00213,2023-01-05,3085.0,1303,1,312.41,312.41,pood,Tallinn,sularaha,Liina,Tamm,liina.tamm@hot.ee,+372 5269 3112,Tallinn,2022-11-21,,1975.0
239,239,INV-202301-00239,2023-01-05,2518.0,1248,1,169.92,145.5,pood,Tallinn,sularaha,Olev,Lill,olev.lill@telia.ee,+372 5233 7689,Narva,2022-01-17,silver,1967.0
20,20,INV-202301-00020,2023-01-06,2539.0,1042,2,347.84,695.68,pood,Tallinn,kaart,Arvo,Pihl,arvo.pihl@outlook.com,+372 5695 0564,Tallinn,2020-05-04,gold,1965.0
23,23,INV-202301-00023,2023-01-06,4541.0,1045,2,176.65,353.3,online,,järelmaks,Liis,Ilves,,+372 5356 3279,Tallinn,2020-11-22,silver,1966.0
54,54,INV-202301-00054,2023-01-06,3764.0,1153,1,79.59,79.59,online,,kaart,Katrin,Kivi,,+372 8305 4164,Pärnu,2020-02-19,,1970.0
112,112,INV-202301-00112,2023-01-06,3165.0,1170,1,158.51,158.51,pood,Tartu,järelmaks,Rasmus,Arro,rasmus.arro@outlook.com,+372 5410 6555,Tallinn,2022-04-29,gold,2000.0
210,210,INV-202301-00210,2023-01-06,3041.0,1043,2,128.44,256.88,pood,Tallinn,sularaha,Urmas,Raid,urmas.raid@yahoo.com,+372 5231 9395,Tartu,2020-03-11,,1982.0
216,216,INV-202301-00216,2023-01-06,2735.0,1241,1,368.97,368.97,pood,Tartu,järelmaks,Maie,Koppel,maie.koppel@telia.ee,+372 5588 2134,Tallinn,2021-05-17,gold,1996.0
224,224,INV-202301-00224,2023-01-06,2744.0,1006,3,319.42,958.26,pood,Tallinn,kaart,Piret,Kull,piret.kull@telia.ee,+372 8997 3443,Rakvere,2021-10-06,gold,1970.0
256,256,INV-202301-00256,2023-01-06,4150.0,1086,1,149.47,149.47,pood,Pärnu,järelmaks,Kaido,Roots,kaido.roots@gmail.com,+372 5815 6260,Pärnu,2020-03-25,,1990.0
9,9,INV-202301-00009,2023-01-07,3308.0,1202,1,22.04,22.04,pood,Tallinn,sularaha,Tarmo,Kaalep,tarmo.kaalep@mail.ee,+372 5598 1967,Tallinn,2020-10-01,,1963.0
41,41,INV-202301-00041,2023-01-07,4239.0,1305,4,50.77,203.08,pood,Tallinn,sularaha,Tarmo,Laas,tarmo.laas@hot.ee,+372 5474 1904,Tallinn,2021-06-29,,2003.0
47,47,INV-202301-00047,2023-01-07,3457.0,1345,1,225.81,225.81,pood,Tallinn,sularaha,Kevin,Must,kevin.must@hot.ee,+372 5129 6239,Tallinn,2020-06-01,bronze,1982.0
51,51,INV-202301-00051,2023-01-07,3493.0,1247,1,29.48,29.48,pood,Tallinn,sularaha,Liis,Nõmm,liis.nomm@hot.ee,+372 5117 0811,Tallinn,2022-01-19,,1983.0
87,87,INV-202301-00087,2023-01-07,2677.0,1070,1,139.74,139.74,pood,Tallinn,kaart,Ants,Valk,ants.valk@mail.ee,+372 5955 1117,Pärnu,2022-03-29,silver,1981.0
144,144,INV-202301-00144,2023-01-07,3446.0,1009,5,332.55,1662.75,pood,Tallinn,järelmaks,Meelis,Sild,meelis.sild@yahoo.com,+372 5727 9416,Kuressaare,2020-03-04,silver,1978.0
145,145,INV-202301-00145,2023-01-07,3240.0,1215,3,160.91,482.73,pood,Tallinn,kaart,Tõnu,Arro,tonu.arro@yahoo.com,+372 5715 7294,Tallinn,2021-05-27,gold,1972.0
162,162,INV-202301-00162,2023-01-07,2534.0,1016,2,54.81,109.62,pood,Pärnu,järelmaks,Sander,Sild,sander.sild@outlook.com,+372 8241 5166,Tallinn,2022-12-29,gold,1975.0
252,252,INV-202301-00252,2023-01-07,4330.0,1029,1,184.15,184.15,pood,Tartu,sularaha,Tarmo,Puusepp,tarmo.puusepp@telia.ee,+372 8366 0096,Pärnu,2022-12-29,gold,1969.0
257,257,INV-202301-00257,2023-01-07,3850.0,1163,1,259.69,259.69,pood,Tallinn,sularaha,Piret,Puusepp,piret.puusepp@outlook.com,+372 5271 9509,Tallinn,2021-03-16,,1980.0
10,10,INV-202301-00010,2023-01-08,2809.0,1083,1,72.14,72.14,pood,Tallinn,sularaha,Madis,Kull,madis.kull@gmail.com,+372 5783 7497,Võru,2021-07-25,,1988.0
33,33,INV-202301-00033,2023-01-08,2331.0,1084,2,156.13,312.26,pood,Tallinn,järelmaks,Katrin,Kivi,katrin.kivi@mail.ee,+372 5323 3709,Tallinn,2020-05-08,,1986.0
45,45,INV-202301-00045,2023-01-08,4150.0,1258,3,84.41,253.23,pood,Tartu,järelmaks,Kaido,Roots,kaido.roots@gmail.com,+372 5815 6260,Pärnu,2020-03-25,,1990.0
99,99,INV-202301-00099,2023-01-08,4264.0,1080,1,51.5,51.5,pood,Tallinn,sularaha,Kalev,Kukk,kalev.kukk@gmail.com,+372 8968 9260,Tallinn,2020-03-04,,1960.0
108,108,INV-202301-00108,2023-01-08,3398.0,1139,1,106.71,106.71,pood,Tallinn,kaart,Tiit,Mets,tiit.mets@outlook.com,+372 5164 5761,Tartu,2021-05-06,gold,1990.0
